region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,1,139 ANUPA,139 ANUPA,3294,28.34 %
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,2,1 BAYAN MUNA,1 BAYAN MUNA,2102,18.08 %
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,3,141 AKO BICOL,141 AKO BICOL,1073,9.23 %
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,4,101 ACT-CIS,101 ACT-CIS,597,5.14 %
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,5,54 ANG PROBINSYANO,54 ANG PROBINSYANO,451,3.88 %
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,6,148 AANGAT TAYO,148 AANGAT TAYO,348,2.99 %
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,7,92 AKO BISAYA,92 AKO BISAYA,341,2.93 %
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,8,83 ACT TEACHERS,83 ACT TEACHERS,339,2.92 %
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,9,91 PROBINSYANO AKO,91 PROBINSYANO AKO,303,2.61 %
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,10,150 BHW,150 BHW,227,1.95 %
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,11,122 1PACMAN,122 1PACMAN,163,1.40 %
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,12,114 AGRI,114 AGRI,159,1.37 %
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,13,33 CIBAC,33 CIBAC,115,0.99 %
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,14,80 MARINO,80 MARINO,112,0.96 %
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,15,16 CWS,16 CWS,98,0.84 %
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,16,3 MAGSASAKA,3 MAGSASAKA,86,0.74 %
REGION V,MASBATE,PLACER,PARTY LIST PHILIPPINES,17,131 A TEACHER,131 A TEACHER,83,0.71 %
