region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,PANGASINAN,MANGATAREM,SENATOR,1,"ABALOS, BENHUR",PFP,15466,4.26 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,2,"ADONIS, JEROME",MKBYN,494,0.14 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,3,"AMAD, WILSON",IND,440,0.12 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,752,0.21 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,5,"AQUINO, BAM",KNP,19115,5.26 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,3398,0.94 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,658,0.18 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,8,"BALLON, ROBERTO",IND,2340,0.64 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,9,"BINAY, ABBY",NPC,13001,3.58 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,10,"BONDOC, JIMMY",PDPLBN,3144,0.87 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,12898,3.55 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,12,"BOSITA, COLONEL",IND,9567,2.63 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,13,"BROSAS, ARLENE",MKBYN,3530,0.97 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,14,"CABONEGRO, ROY",DPP,332,0.09 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,15,"CAPUYAN, ALLEN",PPP,625,0.17 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,16,"CASIÑO, TEDDY",MKBYN,3528,0.97 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,2402,0.66 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,18,"CAYETANO, PIA",NP,15418,4.25 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,443,0.12 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,2261,0.62 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,3019,0.83 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,22,"DELA ROSA, BATO",PDPLBN,11415,3.14 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,686,0.19 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,24,"ESCOBAL, ARNEL",PM,688,0.19 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,25,"ESPIRITU, LUKE",PLM,5564,1.53 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,513,0.14 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,27,"GAMBOA, MARC LOUIE",IND,539,0.15 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,28,"GO, BONG GO",PDPLBN,15830,4.36 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,29,"GONZALES, NORBERTO",PDSP,855,0.24 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,30,"HINLO, JAYVEE",PDPLBN,1658,0.46 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,31,"HONASAN, GRINGO",RP,5602,1.54 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,32,"JOSE, RELLY JR.",KBL,491,0.14 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,33,"LACSON, PING",IND,14619,4.03 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,34,"LAMBINO, RAUL",PDPLBN,8147,2.24 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,35,"LAPID, LITO",NPC,14240,3.92 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,545,0.15 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,362,0.1 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,38,"MARCOLETA, RODANTE",IND,10063,2.77 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,39,"MARCOS, IMEE R.",NP,15918,4.38 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,40,"MARQUEZ, NORMAN",IND,975,0.27 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,41,"MARTINEZ, ERIC",IND,667,0.18 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,42,"MATA, DOC MARITES",IND,1579,0.43 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,43,"MATULA, ATTY. SONNY",WPP,3087,0.85 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,44,"MAZA, LIZA",MKBYN,3279,0.9 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,45,"MENDOZA, HEIDI",IND,8255,2.27 %
REGION I,PANGASINAN,MANGATAREM,SENATOR,46,"MONTEMAYOR, JOEY",IND,677,0.19 %
