region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,1,171 DIWA,171 DIWA,721,15.14 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,2,80 MARINO,80 MARINO,519,10.90 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,3,130 SENIOR CITIZENS,130 SENIOR CITIZENS,512,10.75 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,4,43 AN WARAY,43 AN WARAY,390,8.19 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,5,101 ACT-CIS,101 ACT-CIS,281,5.90 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,6,88 AKBAYAN,88 AKBAYAN,152,3.19 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,7,1 BAYAN MUNA,1 BAYAN MUNA,147,3.09 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,8,92 AKO BISAYA,92 AKO BISAYA,135,2.83 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,9,33 CIBAC,33 CIBAC,105,2.20 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,10,76 ABONO,76 ABONO,103,2.16 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,11,91 PROBINSYANO AKO,91 PROBINSYANO AKO,101,2.12 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,12,54 ANG PROBINSYANO,54 ANG PROBINSYANO,97,2.04 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,13,150 BHW,150 BHW,88,1.85 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,14,87 BUHAY,87 BUHAY,85,1.78 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,15,65 UNIDO,65 UNIDO,82,1.72 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,16,3 MAGSASAKA,3 MAGSASAKA,76,1.60 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,17,157 DUTERTE YOUTH,157 DUTERTE YOUTH,72,1.51 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,17,122 1PACMAN,122 1PACMAN,72,1.51 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,19,131 A TEACHER,131 A TEACHER,62,1.30 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,20,83 ACT TEACHERS,83 ACT TEACHERS,59,1.24 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,21,2 KABAYAN,2 KABAYAN,40,0.84 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,21,53 BH,53 BH BAGONG HENERASYON,40,0.84 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,23,180 GRECON,180 GRECON,35,0.73 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,24,7 OFW FAMILY,7 OFW FAMILY,29,0.61 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,24,103 APPEND,103 APPEND,29,0.61 %
REGION VII,BOHOL,BATUAN,PARTY LIST PHILIPPINES,26,141 AKO BICOL,141 AKO BICOL,28,0.59 %
