region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,693,0.20 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,646,0.19 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,15335,4.60 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,1005,0.30 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,5117,1.53 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,2214,0.66 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,226081,67.88 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,1361,0.41 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,831,0.25 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,392,0.11 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,250528,75.98 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,2174,0.65 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,5306,1.60 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,34471,10.45 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,1070,0.32 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,33567,10.18 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,5268,0.17 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,26993,0.91 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,4391,0.14 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,20733,0.70 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,5371,0.18 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,25178,0.85 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,5213,0.17 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,88093,2.97 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,10844,0.36 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,10682,0.36 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,91760,3.10 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,5499,0.18 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,5076,0.17 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,155159,5.24 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,9325,0.31 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,23800,0.80 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,4609,0.15 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,37087,1.25 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,28171,0.95 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,5696,0.19 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,50608,1.71 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,114293,3.86 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,57445,1.94 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,4081,0.13 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,129773,4.38 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,16252,0.54 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,118390,4.00 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,3537,0.11 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,59907,2.02 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,125015,4.22 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,51270,1.73 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,15781,0.53 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,78031,2.63 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,95073,3.21 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,4321,0.14 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,21124,0.71 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,8143,0.27 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,32184,1.08 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,8601,0.29 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,159262,5.38 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,5238,0.17 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,4018,0.13 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,43,"MARCOLETA, RODANTE",PDPLBN,20890,0.70 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,44,"MARCOS, FRANCIS LEO",IND,32283,1.09 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,45,"MATULA, SONNY",IND,11030,0.37 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,46,"MINDALANO-ADAM,MARIETA",KTPNAN,6425,0.21 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,47,"OLARTE, ATTY/DR. LEO",BIGKIS,5798,0.19 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,48,"PADILLA, DRA. MINGUITA",PDR,30907,1.04 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,49,"PADILLA, ROBIN",PDPLBN,211143,7.13 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,50,"PANELO, SAL PANALO",PDPLBN,31715,1.07 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,51,"PIMENTEL, ASTRA",PDPLBN,25280,0.85 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,52,"PIÑOL, MANNY",NPC,20372,0.68 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,53,"RICABLANCA, WILLIE JR.",PM,5568,0.18 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,54,"ROQUE, HARRY SPOX",PRP,92307,3.11 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,55,"SAHIDULLA, LADY ANNE",PDDS,19233,0.64 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,56,"SISON, JOPET",AKSYON,11918,0.40 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,57,"TEODORO, GIBO",PRP,76796,2.59 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,58,"TRILLANES, ANTONIO IV",LP,49675,1.67 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,59,"TULFO, IDOL RAFFY",IND,181036,6.11 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,60,"VALEROS, REY",IND,3185,0.10 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,61,"VILLANUEVA,JOEL TESDAMAN",IND,115504,3.90 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,62,"VILLAR, MARK",NP,135933,4.59 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,63,"ZUBIAGA, CARMEN",IND,10177,0.34 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,64,"ZUBIRI, MIGZ",IND,130656,4.41 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,SENATOR PHILIPPINES,65,35 BH,BAGONG HENERASYON,1416,0.57 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,"MEMBER, HOUSE OF REPRESENTATIVES ZAMBOANGA DEL SUR - CITY OF ZAMBOANGA - SECOND LEGDIST",1,"AMMANG, MOHAMMAD SALI",IND,4526,2.75 %
REGION IX,ZAMBOANGA DEL SUR,CITY OF ZAMBOANGA,"MEMBER, HOUSE OF REPRESENTATIVES ZAMBOANGA DEL SUR - CITY OF ZAMBOANGA - SECOND LEGDIST",2,"DALIPE, MANNIX",LAKAS,88784,53.98 %
