region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,PRESIDENT PHILIPPINES,1,"DUTERTE, RODY (PDPLBN)",PDP LABAN,2865,45.65 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,PRESIDENT PHILIPPINES,2,"ROXAS, MAR DAANG MATUWID (LP)",LP,2313,36.85 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,PRESIDENT PHILIPPINES,3,"POE, GRACE (IND)",IND,638,10.17 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,PRESIDENT PHILIPPINES,4,"BINAY, JOJO (UNA)",UNA,407,6.49 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,PRESIDENT PHILIPPINES,5,"DEFENSOR SANTIAGO, MIRIAM (PRP)",PRP,48,0.76 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,PRESIDENT PHILIPPINES,6,"SEÑERES, ROY (WPPPMM)",WPP/PMM,5,0.08 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,VICE-PRESIDENT PHILIPPINES,1,"ROBREDO, LENI DAANG MATUWID (LP)",LP,2626,45.20 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,VICE-PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (IND)",IND,1238,21.31 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,VICE-PRESIDENT PHILIPPINES,3,"CAYETANO, ALAN PETER (IND)",IND,1231,21.19 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,VICE-PRESIDENT PHILIPPINES,4,"ESCUDERO, CHIZ (IND)",IND,471,8.11 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,VICE-PRESIDENT PHILIPPINES,5,"HONASAN, GRINGO (UNA)",UNA,148,2.55 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,VICE-PRESIDENT PHILIPPINES,6,"TRILLANES, ANTONIO IV (IND)",IND,96,1.65 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,1,"ZUBIRI, MIGZ (IND)",IND,3445,8.62 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,2,"PACQUIAO, MANNY (UNA)",UNA,2853,7.14 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,3,"GUINGONA, TG (LP)",LP,2754,6.89 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,4,"PETILLA, CARLOS JERICHO (LP)",LP,2271,5.68 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,5,"PANGILINAN, KIKO (LP)",LP,2128,5.32 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,6,"DRILON, FRANK (LP)",LP,2113,5.29 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,7,"VILLANUEVA, JOEL TESDAMAN (LP)",LP,1931,4.83 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,8,"DE LIMA, LEILA (LP)",LP,1805,4.52 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,9,"HONTIVEROS, RISA (AKBYN)",AKBAYAN,1748,4.37 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,10,"SOTTO, VICENTE (NPC)",NPC,1718,4.30 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,11,"LACSON, PANFILO PING (IND)",IND,1661,4.16 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,12,"RECTO, RALPH (LP)",LP,1622,4.06 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,13,"GATCHALIAN, WIN (NPC)",NPC,1362,3.41 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,14,"GORDON, DICK (IND)",IND,1322,3.31 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,15,"OSMEÑA, SERGIO III (IND)",IND,1296,3.24 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,16,"TOLENTINO, FRANCIS (IND)",IND,1283,3.21 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,17,"DOMAGOSO, ISKO MORENO (PMP)",PMP,1257,3.14 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,18,"ROMUALDEZ, MARTIN (LAKAS)",LAKAS CMD,1155,2.89 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,19,"COLMENARES, NERI (MKBYN)",OTHERS,713,1.78 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,20,"LAPID, MARK (AKSYON)",AKSYON,643,1.61 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,21,"MANZANO, EDU (IND)",IND,596,1.49 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,22,"ROMULO, ROMAN (IND)",IND,452,1.13 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,23,"LACSAMANA, ALMA MORENO (UNA)",UNA,290,0.73 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,24,"CHAVEZ, MEL (WPPPMM)",WPP/PMM,270,0.68 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,25,"SANTIAGO, DIONISIO (IND)",IND,233,0.58 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,26,"MONTANO, ALLAN (UNA)",UNA,224,0.56 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,27,"AMBOLODTO, INA (LP)",LP,222,0.56 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,28,"GADON, LARRY (KBL)",KBL,211,0.53 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,29,"OPLE, SUSAN (NP)",NP,199,0.50 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,30,"BELGICA, GRECO (IND)",IND,193,0.48 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,31,"ALUNAN, RAFFY (IND)",IND,178,0.45 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,32,"ARQUIZA, GODOFREDO (IND)",IND,147,0.37 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,33,"PAEZ, MR. COOP (IND)",IND,135,0.34 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,34,"KAPUNAN, ATTY. LORNA (AKSYON)",AKSYON,131,0.33 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,35,"NAPEÑAS, GETULIO (UNA)",UNA,130,0.33 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,36,"PALPARAN, JOVITO JR. (IND)",IND,128,0.32 %
REGION X,MISAMIS ORIENTAL,SUGBONGCOGON,SENATOR PHILIPPINES,37,"VALEROSO, DIOSDADO (IND)",IND,111,0.28 %
