region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,1662,3.78 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,82,0.19 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,52,0.12 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,70,0.16 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,3045,6.92 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,350,0.8 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,104,0.24 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,192,0.44 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,1620,3.68 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,350,0.8 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,1531,3.48 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,874,1.99 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,444,1.01 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,63,0.14 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,94,0.21 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,490,1.11 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,574,1.31 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,1489,3.39 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,78,0.18 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,190,0.43 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,467,1.06 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,948,2.16 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,101,0.23 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,105,0.24 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,777,1.77 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,74,0.17 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,59,0.13 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,2095,4.76 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,121,0.28 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,176,0.4 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,757,1.72 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,70,0.16 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,2059,4.68 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,237,0.54 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,1504,3.42 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,68,0.15 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,40,0.09 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,711,1.62 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,809,1.84 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,90,0.2 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,110,0.25 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,201,0.46 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,350,0.8 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,373,0.85 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,1051,2.39 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,95,0.22 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,40,0.09 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,43,0.1 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,757,1.72 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,1298,2.95 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,2237,5.09 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,370,0.84 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,160,0.36 %
REGION V,CATANDUANES,PANGANIBAN,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,346,0.79 %
