region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,SAMAR,MARABUT,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,3695,4.92 %
REGION VIII,SAMAR,MARABUT,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,182,0.24 %
REGION VIII,SAMAR,MARABUT,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,150,0.2 %
REGION VIII,SAMAR,MARABUT,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,163,0.22 %
REGION VIII,SAMAR,MARABUT,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,2549,3.4 %
REGION VIII,SAMAR,MARABUT,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,353,0.47 %
REGION VIII,SAMAR,MARABUT,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,149,0.2 %
REGION VIII,SAMAR,MARABUT,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,261,0.35 %
REGION VIII,SAMAR,MARABUT,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,3554,4.73 %
REGION VIII,SAMAR,MARABUT,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,1170,1.56 %
REGION VIII,SAMAR,MARABUT,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,3502,4.66 %
REGION VIII,SAMAR,MARABUT,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,1038,1.38 %
REGION VIII,SAMAR,MARABUT,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,393,0.52 %
REGION VIII,SAMAR,MARABUT,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,79,0.11 %
REGION VIII,SAMAR,MARABUT,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,100,0.13 %
