region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,1,"ABALOS, BENHUR",PFP,1929,0.87 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,2,"ADONIS, JEROME",MKBYN,373,0.17 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,3,"AMAD, WILSON",IND,351,0.16 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,240,0.11 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,5,"AQUINO, BAM",KNP,4138,1.87 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,416,0.19 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,275,0.12 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,8,"BALLON, ROBERTO",IND,488,0.22 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,9,"BINAY, ABBY",NPC,2545,1.15 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,10,"BONDOC, JIMMY",PDPLBN,13736,6.2 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,5657,2.55 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,12,"BOSITA, COLONEL",IND,1986,0.9 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,13,"BROSAS, ARLENE",MKBYN,364,0.16 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,14,"CABONEGRO, ROY",DPP,244,0.11 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,15,"CAPUYAN, ALLEN",PPP,1853,0.84 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,16,"CASIÑO, TEDDY",MKBYN,386,0.17 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,459,0.21 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,18,"CAYETANO, PIA",NP,3807,1.72 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,218,0.1 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,521,0.24 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,508,0.23 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,22,"DELA ROSA, BATO",PDPLBN,23019,10.38 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,231,0.1 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,24,"ESCOBAL, ARNEL",PM,303,0.14 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,25,"ESPIRITU, LUKE",PLM,666,0.3 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,203,0.09 %
REGION XI,DAVAO DE ORO,NEW BATAAN,SENATOR,27,"GAMBOA, MARC LOUIE",IND,280,0.13 %
